Original,English,Vietnamese,Type
花长曦,Hua Changxi,Hoa Trường Hy,name
岐黄馆,Qihuang Hall,Kỳ Hoàng Quán,location
丹圣殿,Pill Saint Palace,Đan Thánh Điện,organization
神农鼎,Shennong Tripod,Thần Nông Đỉnh,other
心魔咒,Heart Demon Curse,Tâm Ma Chú,term
锦衣卫,Jin Yi Wei,Cẩm Y Vệ,organization
东厂,Eastern Depot,Đông Xưởng,organization
五城兵马司,,Ngũ Thành Binh Mã Ty,organization
丰安坊,Feng'an Quarter,Phong An Phường,location
大力牛魔功,,Đại Lực Ngưu Ma Công,term
图腾钵,Totem Alms Bowl,Đồ Đằng Bát,other
流光红莲,Streamer Red Lotus,Lưu Quang Hồng Liên,term
朱雀,Vermilion Bird,Chu Tước,name
四灵界,Four Spirits World,Tứ Linh Giới,location
妖魔狱,Demon Jail,Yêu Ma Ngục,location
庞少禹,,Bàng Thiếu Vũ,name
空海,Konghai,Không Hải,name
许灵,,Hứa Linh,name
许药师,,Hứa Dược Sư,name
神农堂,Shennong Hall,Thần Nông Đường,organization
化婴境,Nascent Soul Realm,Hóa Anh Cảnh,term
安泽,,An Trạch,name
安然,,An Nhiên,name
山灵,,Sơn Linh,name
迎客松,,Nghênh Khách Tùng,name
小松,,Tiểu Tùng,name
贾公公,,Giả Công Công,name
于公公,,Ư Công Công,name
赵公公,,Triệu Công Công,name
周公公,,Chu Công Công,name
于桧,,Ư Hồi,name
古兴,,Cổ Hưng,name
顾锦凡,,Cố Cẩm Phàm,name
沈千帆,,Thẩm Thiên Phàm,name
祝清欢,,Chúc Thanh Hoan,name
贺思蓉,,Hạ Tư Dung,name
贺思琪,,Hạ Tư Kỳ,name
贺三爷,,Hạ Tam Gia,name
贺三夫人,,Hạ Tam Phu Nhân,name
花五娘,,Hoa Ngũ Nương,name
花长馨,,Hoa Trường Hinh,name
五指山,,Ngũ Chỉ Sơn,location
拇指村,,Mẫu Chỉ Thôn,location
朝圣路,,Triều Thánh Lộ,location
广场老院,,Quảng Trường Lão Viện,location
弟子堂,,Đệ Tử Đường,organization
学徒堂,,Học Đồ Đường,organization
医药司,,Y Dược Ty,organization
血脉返祖,bloodline awakening,Huyết Mạch Phản Tổ,term
炼皮,skin tempering,Luyện Bì,term
九转玄功,,Cửu Chuyển Huyền Công,term
朱雀神诀,,Chu Tước Thần Quyết,term
测灵石,,Trắc Linh Thạch,term
武毅侯府,,Võ Nghị Hầu Phủ,location
沈氏,,Thẩm Thị,name
花泰,,Hoa Thái,name
花忠,,Hoa Trung,name
花四婶,,Hoa Tứ Thẩm,name
花老太太,,Hoa Lão Thái Thái,name
姚氏,,Diêu Thị,name
花二婶,,Hoa Nhị Thẩm,name
花四郎,,Hoa Tứ Lang,name
花七娘,,Hoa Thất Nương,name
花十二娘,,Hoa Thập Nhị Nương,name
花六郎,,Hoa Lục Lang,name
花八郎,,Hoa Bát Lang,name
花十三郎,,Hoa Thập Tam Lang,name
钟氏,,Chung Thị,name
贺大郎,,Hạ Đại Lang,name
贺二爷,,Hạ Nhị Gia,name
贺三郎,,Hạ Tam Lang,name
花明诚,,Hoa Minh Thành,name
花老爷子,,Hoa Lão Gia Tử,name
花明赫,,Hoa Minh Hách,name
窦氏,,Đậu Thị,name
侯夫人,,Hầu Phu Nhân,name
贺世子,,Hạ Thế Tử,name
贺小满,,Hạ Tiểu Mãn,name
定远伯府,,Định Viễn Bá Phủ,location
花舒苒,,Hoa Thư Nhiễm,name
顾启鸣,,Cố Khải Minh,name
穆青颖,,Mục Thanh Dĩnh,name
曹俊,,Tào Tuấn,name
曾鸿,,Tằng Hồng,name
周秋雨,,Chu Thu Vũ,name
王云初,,Vương Vân Sơ,name
