# QUAN HỆ NHÂN VẬT - CHƯƠNG 001-130

## MẪU ĐỊNH DẠNG
Tên nhân vật A | Tên nhân vật B | Quan hệ | Lưu ý

---

## GIA ĐÌNH HỌ HOA (ĐẠI PHÒNG)

Hoa Trường Hy | Hoa Minh Hách | Cha con | Cửu nương là con gái thứ 9 của Hoa Minh Hách
Hoa Trường Hy | Diêu thị | Mẹ con | Diêu thị là chính thất của Hoa Minh Hách
Hoa Trường Hy | Hoa Lão gia tử | Ông nội - Cháu gái | Hoa Lão gia tử = Hoa Bân, gia trưởng phong kiến
Hoa Trường Hy | Hoa lão thái thái | Bà nội - Cháu gái | Hoa lão thái thái trọng nam khinh nữ
Hoa Trường Hy | Hoa Lục Lang | Anh em ruột | Lục ca là anh trai thứ 6, Hoa Trường Hy là Cửu muội
Hoa Trường Hy | Hoa Tam Lang | Anh em ruột | Tam ca là anh trai thứ 3
Hoa Trường Hy | Hoa Đại Lang | Anh em ruột | Đại ca là anh cả, đang học ở Võ Viện
Hoa Trường Hy | Hoa Bát Lang | Anh em họ | Bát ca là con trai nhị phòng
Hoa Trường Hy | Hoa Ngũ Nương | Chị em họ | Ngũ tỷ là con gái tứ phòng, hơn 1 tuổi, đang mang thai
Hoa Trường Hy | Hoa Thất Nương | Chị em họ | Thất tỷ là con gái tứ phòng, bằng tuổi
Hoa Trường Hy | Hoa Thập Nhị Nương | Chị em họ | Thập Nhị muội là con gái tứ phòng, nhỏ hơn 1 tuổi
Hoa Trường Hy | Hoa Thập Tứ Nương | Chị em họ | Thập Tứ muội là con gái tứ phòng, nhỏ nhất (7 tuổi)
Hoa Minh Hách | Hoa Lão gia tử | Cha con | Hoa Minh Hách là trưởng tử
Hoa Minh Hách | Hoa lão thái thái | Mẹ con | Hoa Minh Hách được kỳ vọng nhất
Hoa Minh Hách | Hoa Minh Ngang | Anh em ruột | Nhị đệ, làm sai dịch Nam Thành Binh Mã Ty
Hoa Minh Hách | Hoa Minh Thành | Anh em ruột | Tứ đệ, làm ngục tốt Hình Bộ
Hoa Minh Hách | Hoa Tri Nhan | Anh em ruột | Tam muội, gả vào Thẩm gia
Diêu thị | Hoa lão thái thái | Mẹ chồng - Con dâu | Quan hệ căng thẳng, Hoa lão thái thái không thích Diêu thị
Hoa Lão gia tử | Hoa Bân | Bản thân | Hoa Lão gia tử tên thật là Hoa Bân

---

## GIA ĐÌNH HỌ HOA (NHỊ PHÒNG)

Hoa Nhị Thúc | Hoa Minh Ngang | Bản thân | Nhị thúc = Hoa Minh Ngang
Hoa nhị thẩm | Hoa Minh Ngang | Vợ chồng | Nhị thẩm = Phạm thị (con gái cháu gái Hoa lão thái thái)
Hoa Bát Lang | Hoa Nhị Thúc | Cha con | Bát ca là con trai nhị phòng
Hoa Bát Lang | Hoa nhị thẩm | Mẹ con | Bát ca là con trai nhị phòng

---

## GIA ĐÌNH HỌ HOA (TỨ PHÒNG)

Hoa tứ thúc | Hoa Minh Thành | Bản thân | Tứ thúc = Hoa Minh Thành
Hoa tứ thẩm | Hoa Minh Thành | Vợ chồng | Tứ thẩm = Liễu thị
